Entity,Code,Year,"GHG emissions per 1000kcal (Poore & Nemecek, 2018)"
Apples,,2010,0.895833333
Bananas,,2010,1.433333333
Barley,,2010,0.236
Beef (beef herd),,2010,36.43956044
Beef (dairy herd),,2010,12.1978022
Beet Sugar,,2010,0.515669516
Berries & Grapes,,2010,2.684210526
Brassicas,,2010,3
Cane Sugar,,2010,0.911680912
Cassava,,2010,1.35523614
Cheese,,2010,6.170542636
Citrus Fruit,,2010,1.21875
Coffee,,2010,50.94642857
Dark Chocolate,,2010,9.023210832
Eggs,,2010,3.243055556
Fish (farmed),,2010,7.61452514
Groundnuts,,2010,0.556896552
Lamb & Mutton,,2010,12.52996845
Maize,,2010,0.375898286
Milk,,2010,5.25
Nuts,,2010,0.069918699
Oatmeal,,2010,0.945482272
Olive Oil,,2010,0.613122172
Onions & Leeks,,2010,1.351351351
Other Pulses,,2010,0.524926686
Palm Oil,,2010,0.828054299
Peas,,2010,0.283236994
Pig Meat,,2010,5.150627615
Potatoes,,2010,0.628415301
Poultry Meat,,2010,5.335135135
Prawns (farmed),,2010,26.08737864
Rapeseed Oil,,2010,0.426470588
Rice,,2010,1.207270754
Root Vegetables,,2010,1.162162162
Sunflower Oil,,2010,0.407239819
Tofu (soybeans),,2010,1.166051661
Tomatoes,,2010,11
Wheat & Rye,,2010,0.586843492
